Tiempo_s,ADC,Voltaje_V,Bloque,PesoProgramado_kg
0.000,504,2.463343,0,0.000000
0.100,503,2.458456,0,0.000000
0.200,503,2.458456,0,0.000000
0.300,503,2.458456,0,0.000000
0.400,503,2.458456,0,0.000000
0.500,503,2.458456,0,0.000000
0.600,503,2.458456,0,0.000000
0.700,503,2.458456,0,0.000000
0.800,503,2.458456,0,0.000000
0.901,503,2.458456,0,0.000000
1.000,503,2.458456,0,0.000000
1.100,503,2.458456,0,0.000000
1.200,503,2.458456,0,0.000000
1.300,503,2.458456,0,0.000000
1.400,503,2.458456,0,0.000000
1.500,504,2.463343,0,0.000000
1.600,503,2.458456,0,0.000000
1.700,503,2.458456,0,0.000000
1.800,503,2.458456,0,0.000000
1.900,503,2.458456,0,0.000000
2.000,504,2.463343,0,0.000000
2.100,503,2.458456,0,0.000000
2.200,503,2.458456,0,0.000000
2.300,503,2.458456,0,0.000000
2.400,503,2.458456,0,0.000000
2.500,503,2.458456,0,0.000000
2.600,503,2.458456,0,0.000000
2.700,503,2.458456,0,0.000000
2.800,503,2.458456,0,0.000000
2.900,503,2.458456,0,0.000000
3.000,503,2.458456,0,0.000000
3.100,503,2.458456,0,0.000000
3.200,503,2.458456,0,0.000000
3.300,503,2.458456,0,0.000000
3.400,503,2.458456,0,0.000000
3.500,504,2.463343,0,0.000000
3.600,503,2.458456,0,0.000000
3.700,503,2.458456,0,0.000000
3.800,503,2.458456,0,0.000000
3.900,503,2.458456,0,0.000000
4.000,504,2.463343,0,0.000000
4.101,503,2.458456,0,0.000000
4.200,503,2.458456,0,0.000000
4.300,503,2.458456,0,0.000000
4.400,503,2.458456,0,0.000000
4.500,503,2.458456,0,0.000000
4.600,503,2.458456,0,0.000000
4.700,503,2.458456,0,0.000000
4.800,503,2.458456,0,0.000000
4.900,503,2.458456,0,0.000000
5.000,504,2.463343,1,0.100000
5.100,503,2.458456,1,0.100000
5.200,503,2.458456,1,0.100000
5.300,503,2.458456,1,0.100000
5.400,503,2.458456,1,0.100000
5.500,503,2.458456,1,0.100000
5.600,503,2.458456,1,0.100000
5.700,503,2.458456,1,0.100000
5.800,504,2.463343,1,0.100000
5.900,503,2.458456,1,0.100000
6.000,501,2.448680,1,0.100000
6.100,476,2.326491,1,0.100000
6.200,454,2.218964,1,0.100000
6.300,453,2.214076,1,0.100000
6.400,453,2.214076,1,0.100000
6.500,453,2.214076,1,0.100000
6.600,454,2.218964,1,0.100000
6.700,454,2.218964,1,0.100000
6.800,454,2.218964,1,0.100000
6.900,453,2.214076,1,0.100000
7.000,453,2.214076,1,0.100000
7.100,453,2.214076,1,0.100000
7.200,453,2.214076,1,0.100000
7.301,453,2.214076,1,0.100000
7.400,454,2.218964,1,0.100000
7.500,453,2.214076,1,0.100000
7.600,454,2.218964,1,0.100000
7.700,454,2.218964,1,0.100000
7.800,454,2.218964,1,0.100000
7.900,453,2.214076,1,0.100000
8.000,454,2.218964,1,0.100000
8.100,453,2.214076,1,0.100000
8.200,453,2.214076,1,0.100000
8.300,453,2.214076,1,0.100000
8.400,453,2.214076,1,0.100000
8.500,453,2.214076,1,0.100000
8.600,453,2.214076,1,0.100000
8.700,454,2.218964,1,0.100000
8.800,453,2.214076,1,0.100000
8.900,453,2.214076,1,0.100000
9.000,453,2.214076,1,0.100000
9.100,453,2.214076,1,0.100000
9.200,454,2.218964,1,0.100000
9.300,453,2.214076,1,0.100000
9.400,453,2.214076,1,0.100000
9.500,453,2.214076,1,0.100000
9.600,453,2.214076,1,0.100000
9.700,454,2.218964,1,0.100000
9.800,454,2.218964,1,0.100000
9.900,454,2.218964,1,0.100000
10.000,454,2.218964,2,0.200000
10.100,453,2.214076,2,0.200000
10.200,453,2.214076,2,0.200000
10.300,453,2.214076,2,0.200000
10.400,453,2.214076,2,0.200000
10.501,453,2.214076,2,0.200000
10.600,453,2.214076,2,0.200000
10.700,453,2.214076,2,0.200000
10.800,454,2.218964,2,0.200000
10.900,453,2.214076,2,0.200000
11.000,453,2.214076,2,0.200000
11.100,453,2.214076,2,0.200000
11.200,451,2.204301,2,0.200000
11.300,437,2.135875,2,0.200000
11.400,426,2.082111,2,0.200000
11.500,426,2.082111,2,0.200000
11.600,426,2.082111,2,0.200000
11.700,426,2.082111,2,0.200000
11.800,426,2.082111,2,0.200000
11.900,426,2.082111,2,0.200000
12.000,426,2.082111,2,0.200000
12.100,426,2.082111,2,0.200000
12.200,426,2.082111,2,0.200000
12.300,426,2.082111,2,0.200000
12.400,426,2.082111,2,0.200000
12.500,426,2.082111,2,0.200000
12.600,426,2.082111,2,0.200000
12.700,426,2.082111,2,0.200000
12.800,426,2.082111,2,0.200000
12.900,426,2.082111,2,0.200000
13.000,426,2.082111,2,0.200000
13.100,426,2.082111,2,0.200000
13.200,426,2.082111,2,0.200000
13.300,426,2.082111,2,0.200000
13.400,426,2.082111,2,0.200000
13.500,426,2.082111,2,0.200000
13.600,426,2.082111,2,0.200000
13.701,426,2.082111,2,0.200000
13.800,426,2.082111,2,0.200000
13.900,426,2.082111,2,0.200000
14.000,426,2.082111,2,0.200000
14.100,426,2.082111,2,0.200000
14.200,426,2.082111,2,0.200000
14.300,426,2.082111,2,0.200000
14.400,426,2.082111,2,0.200000
14.500,426,2.082111,2,0.200000
14.600,426,2.082111,2,0.200000
14.700,426,2.082111,2,0.200000
14.800,426,2.082111,2,0.200000
14.900,426,2.082111,2,0.200000
15.000,426,2.082111,3,0.300000
15.100,426,2.082111,3,0.300000
15.200,426,2.082111,3,0.300000
15.300,426,2.082111,3,0.300000
15.400,426,2.082111,3,0.300000
15.500,426,2.082111,3,0.300000
15.600,426,2.082111,3,0.300000
15.700,426,2.082111,3,0.300000
15.800,426,2.082111,3,0.300000
15.900,426,2.082111,3,0.300000
16.000,426,2.082111,3,0.300000
16.100,426,2.082111,3,0.300000
16.200,426,2.082111,3,0.300000
16.300,425,2.077224,3,0.300000
16.400,410,2.003910,3,0.300000
16.500,402,1.964809,3,0.300000
16.600,402,1.964809,3,0.300000
16.700,402,1.964809,3,0.300000
16.800,402,1.964809,3,0.300000
16.901,403,1.969697,3,0.300000
17.000,402,1.964809,3,0.300000
17.100,402,1.964809,3,0.300000
17.200,403,1.969697,3,0.300000
17.300,402,1.964809,3,0.300000
17.400,402,1.964809,3,0.300000
17.500,402,1.964809,3,0.300000
17.600,402,1.964809,3,0.300000
17.700,402,1.964809,3,0.300000
17.800,402,1.964809,3,0.300000
17.900,402,1.964809,3,0.300000
18.000,402,1.964809,3,0.300000
18.100,402,1.964809,3,0.300000
18.200,402,1.964809,3,0.300000
18.300,402,1.964809,3,0.300000
18.400,402,1.964809,3,0.300000
18.500,402,1.964809,3,0.300000
18.600,402,1.964809,3,0.300000
18.700,402,1.964809,3,0.300000
18.800,402,1.964809,3,0.300000
18.900,402,1.964809,3,0.300000
19.000,402,1.964809,3,0.300000
19.100,402,1.964809,3,0.300000
19.200,402,1.964809,3,0.300000
19.300,402,1.964809,3,0.300000
19.400,402,1.964809,3,0.300000
19.500,402,1.964809,3,0.300000
19.600,402,1.964809,3,0.300000
19.700,402,1.964809,3,0.300000
19.800,402,1.964809,3,0.300000
19.900,402,1.964809,3,0.300000
20.000,402,1.964809,4,0.400000
20.101,402,1.964809,4,0.400000
20.200,402,1.964809,4,0.400000
20.300,402,1.964809,4,0.400000
20.400,402,1.964809,4,0.400000
20.500,401,1.959922,4,0.400000
20.600,401,1.959922,4,0.400000
20.700,401,1.959922,4,0.400000
20.800,401,1.959922,4,0.400000
20.900,401,1.959922,4,0.400000
21.000,388,1.896383,4,0.400000
21.100,387,1.891496,4,0.400000
21.200,387,1.891496,4,0.400000
21.300,387,1.891496,4,0.400000
21.400,387,1.891496,4,0.400000
21.500,387,1.891496,4,0.400000
21.600,387,1.891496,4,0.400000
21.700,387,1.891496,4,0.400000
21.800,387,1.891496,4,0.400000
21.900,387,1.891496,4,0.400000
22.000,387,1.891496,4,0.400000
22.100,387,1.891496,4,0.400000
22.200,387,1.891496,4,0.400000
22.300,387,1.891496,4,0.400000
22.400,387,1.891496,4,0.400000
22.500,387,1.891496,4,0.400000
22.600,387,1.891496,4,0.400000
22.700,386,1.886608,4,0.400000
22.800,387,1.891496,4,0.400000
22.900,387,1.891496,4,0.400000
23.000,387,1.891496,4,0.400000
23.100,387,1.891496,4,0.400000
23.200,387,1.891496,4,0.400000
23.301,387,1.891496,4,0.400000
23.400,387,1.891496,4,0.400000
23.500,387,1.891496,4,0.400000
23.600,386,1.886608,4,0.400000
23.700,387,1.891496,4,0.400000
23.800,387,1.891496,4,0.400000
23.900,387,1.891496,4,0.400000
24.000,387,1.891496,4,0.400000
24.100,387,1.891496,4,0.400000
24.200,386,1.886608,4,0.400000
24.300,387,1.891496,4,0.400000
24.400,387,1.891496,4,0.400000
24.500,387,1.891496,4,0.400000
24.600,387,1.891496,4,0.400000
24.700,386,1.886608,4,0.400000
24.800,387,1.891496,4,0.400000
24.900,386,1.886608,4,0.400000
25.000,387,1.891496,5,0.500000
25.100,387,1.891496,5,0.500000
25.200,387,1.891496,5,0.500000
25.300,387,1.891496,5,0.500000
25.400,387,1.891496,5,0.500000
25.500,387,1.891496,5,0.500000
25.600,387,1.891496,5,0.500000
25.700,387,1.891496,5,0.500000
25.800,387,1.891496,5,0.500000
25.900,386,1.886608,5,0.500000
26.000,378,1.847507,5,0.500000
26.100,377,1.842620,5,0.500000
26.200,377,1.842620,5,0.500000
26.300,377,1.842620,5,0.500000
26.400,377,1.842620,5,0.500000
26.501,377,1.842620,5,0.500000
26.600,377,1.842620,5,0.500000
26.700,377,1.842620,5,0.500000
26.800,377,1.842620,5,0.500000
26.900,377,1.842620,5,0.500000
27.000,377,1.842620,5,0.500000
27.100,377,1.842620,5,0.500000
27.200,377,1.842620,5,0.500000
27.300,377,1.842620,5,0.500000
27.400,377,1.842620,5,0.500000
27.500,377,1.842620,5,0.500000
27.600,377,1.842620,5,0.500000
27.700,377,1.842620,5,0.500000
27.800,377,1.842620,5,0.500000
27.900,377,1.842620,5,0.500000
28.000,377,1.842620,5,0.500000
28.100,377,1.842620,5,0.500000
28.200,377,1.842620,5,0.500000
28.300,377,1.842620,5,0.500000
28.400,377,1.842620,5,0.500000
28.500,377,1.842620,5,0.500000
28.600,377,1.842620,5,0.500000
28.700,377,1.842620,5,0.500000
28.800,377,1.842620,5,0.500000
28.900,377,1.842620,5,0.500000
29.000,377,1.842620,5,0.500000
29.100,377,1.842620,5,0.500000
29.200,377,1.842620,5,0.500000
29.300,377,1.842620,5,0.500000
29.400,377,1.842620,5,0.500000
29.500,377,1.842620,5,0.500000
29.600,377,1.842620,5,0.500000
29.701,377,1.842620,5,0.500000
29.800,377,1.842620,5,0.500000
29.900,377,1.842620,5,0.500000
30.000,377,1.842620,6,0.600000
30.100,377,1.842620,6,0.600000
30.200,377,1.842620,6,0.600000
30.300,377,1.842620,6,0.600000
30.400,377,1.842620,6,0.600000
30.500,377,1.842620,6,0.600000
30.600,377,1.842620,6,0.600000
30.700,376,1.837732,6,0.600000
30.800,370,1.808407,6,0.600000
30.900,369,1.803519,6,0.600000
31.000,366,1.788856,6,0.600000
31.100,364,1.779081,6,0.600000
31.200,364,1.779081,6,0.600000
31.300,363,1.774194,6,0.600000
31.400,362,1.769306,6,0.600000
31.500,361,1.764418,6,0.600000
31.600,360,1.759531,6,0.600000
31.700,361,1.764418,6,0.600000
31.800,360,1.759531,6,0.600000
31.900,360,1.759531,6,0.600000
32.000,360,1.759531,6,0.600000
32.100,360,1.759531,6,0.600000
32.200,360,1.759531,6,0.600000
32.300,360,1.759531,6,0.600000
32.400,360,1.759531,6,0.600000
32.500,360,1.759531,6,0.600000
32.600,360,1.759531,6,0.600000
32.700,360,1.759531,6,0.600000
32.800,360,1.759531,6,0.600000
32.901,360,1.759531,6,0.600000
33.000,360,1.759531,6,0.600000
