Tiempo_s,ADC,Voltaje_V,Bloque,PesoProgramado_kg
0.000,509,2.487781,0,0.000000
0.100,509,2.487781,0,0.000000
0.200,508,2.482893,0,0.000000
0.300,508,2.482893,0,0.000000
0.400,509,2.487781,0,0.000000
0.500,508,2.482893,0,0.000000
0.600,508,2.482893,0,0.000000
0.700,509,2.487781,0,0.000000
0.800,508,2.482893,0,0.000000
0.900,508,2.482893,0,0.000000
1.000,509,2.487781,0,0.000000
1.100,509,2.487781,0,0.000000
1.200,509,2.487781,0,0.000000
1.300,508,2.482893,0,0.000000
1.400,508,2.482893,0,0.000000
1.500,509,2.487781,0,0.000000
1.600,508,2.482893,0,0.000000
1.700,509,2.487781,0,0.000000
1.800,509,2.487781,0,0.000000
1.900,509,2.487781,0,0.000000
2.000,509,2.487781,0,0.000000
2.100,508,2.482893,0,0.000000
2.200,508,2.482893,0,0.000000
2.300,509,2.487781,0,0.000000
2.400,508,2.482893,0,0.000000
2.500,508,2.482893,0,0.000000
2.600,508,2.482893,0,0.000000
2.700,508,2.482893,0,0.000000
2.800,509,2.487781,0,0.000000
2.900,508,2.482893,0,0.000000
3.000,509,2.487781,0,0.000000
3.100,508,2.482893,0,0.000000
3.200,509,2.487781,0,0.000000
3.300,509,2.487781,0,0.000000
3.400,509,2.487781,0,0.000000
3.500,508,2.482893,0,0.000000
3.600,509,2.487781,0,0.000000
3.700,509,2.487781,0,0.000000
3.800,509,2.487781,0,0.000000
3.900,509,2.487781,0,0.000000
4.000,509,2.487781,0,0.000000
4.100,508,2.482893,0,0.000000
4.200,509,2.487781,0,0.000000
4.300,509,2.487781,0,0.000000
4.400,508,2.482893,0,0.000000
4.500,509,2.487781,0,0.000000
4.600,509,2.487781,0,0.000000
4.700,509,2.487781,0,0.000000
4.800,508,2.482893,0,0.000000
4.900,508,2.482893,0,0.000000
5.000,508,2.482893,1,0.100000
5.100,509,2.487781,1,0.100000
5.200,508,2.482893,1,0.100000
5.300,508,2.482893,1,0.100000
5.400,508,2.482893,1,0.100000
5.500,509,2.487781,1,0.100000
5.600,508,2.482893,1,0.100000
5.700,509,2.487781,1,0.100000
5.800,509,2.487781,1,0.100000
5.900,509,2.487781,1,0.100000
6.000,508,2.482893,1,0.100000
6.100,509,2.487781,1,0.100000
6.200,509,2.487781,1,0.100000
6.300,509,2.487781,1,0.100000
6.400,509,2.487781,1,0.100000
6.500,509,2.487781,1,0.100000
6.600,509,2.487781,1,0.100000
6.700,508,2.482893,1,0.100000
6.800,509,2.487781,1,0.100000
6.900,508,2.482893,1,0.100000
7.000,509,2.487781,1,0.100000
7.100,508,2.482893,1,0.100000
7.200,509,2.487781,1,0.100000
7.300,508,2.482893,1,0.100000
7.400,509,2.487781,1,0.100000
7.500,509,2.487781,1,0.100000
7.600,508,2.482893,1,0.100000
7.700,509,2.487781,1,0.100000
7.800,509,2.487781,1,0.100000
7.900,508,2.482893,1,0.100000
8.000,509,2.487781,1,0.100000
8.100,508,2.482893,1,0.100000
8.200,509,2.487781,1,0.100000
8.300,508,2.482893,1,0.100000
8.400,509,2.487781,1,0.100000
8.500,509,2.487781,1,0.100000
8.600,508,2.482893,1,0.100000
8.700,508,2.482893,1,0.100000
