Tiempo_s,Phi_rel_deg,Phi_raw_deg,AX_g,AY_g,AZ_g,A0_V,A2_V,Theta0_raw,Theta0_filtrado,DXL_Corriente_mA,DXL_Corriente_abs_mA,DXL_Posicion_pulsos,DXL_Posicion_deg,DXL_Goal_Position_deg,Pulsos_Objetivo,Edad_dato_Arduino_s,Tau_calculado_Nmm,Corriente_calculada_mA,Test_ID,Motivo_detencion
0.000269586,4.22189162667941,10.387,0.4792,-0.0085,1.0325,2.683,2.278,1.32696087626722,1.32696087626722,-170,170,1889,166.025390625,127.265625,0,0,6.1520536592641,142.740916225447,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.060174286,4.90289162667941,11.068,0.5554,0.0325,0.9949,2.678,2.297,1.33680909543189,1.32942293105839,-146,146,1889,166.025390625,127.265625,255,0,10.3608510678253,146.400740058979,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.130421017,5.80889162667941,11.974,0.5171,-0.0154,1.0347,2.678,2.307,1.33680909543189,1.33126947215176,-149,149,1889,166.025390625,127.265625,255,0,15.9534701547847,151.263887091117,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.183468434,6.45689162667941,12.622,0.5042,-0.02,1.0134,2.688,2.317,1.31711265710254,1.32773026838946,-152,152,1889,166.025390625,127.265625,255,0,19.9480562382426,154.737440207167,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.231560671,7.01089162667941,13.176,0.53,-0.0254,1.0068,2.683,2.322,1.32696087626722,1.3275379203589,-156,156,1889,166.025390625,127.265625,255,0,23.3591487008577,157.703607565963,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.279558625,7.39889162667941,13.564,0.5122,-0.0286,1.0166,2.678,2.331,1.33680909543189,1.32985571412715,-158,158,1889,166.025390625,127.265625,255,0,45.7457501090462,159.778913138301,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.327544775,7.59989162667941,13.765,0.5696,-0.0139,0.9912,2.678,2.336,1.33680909543189,1.33159405945333,-161,161,1889,166.025390625,127.265625,255,0,46.9812900954681,160.85329573519,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.375590848,8.07289162667941,14.238,0.5813,-0.0144,0.9797,2.678,2.341,1.33680909543189,1.33289781844797,-163,163,1889,166.025390625,127.265625,255,0,49.8864963067919,163.379562005906,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.423595336,8.64289162667941,14.808,0.5889,-0.0205,0.9861,2.678,2.346,1.33680909543189,1.33387563769395,-164,164,1889,166.025390625,127.265625,255,0,53.3829496494651,166.419956216926,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.471519265,9.33989162667941,15.505,0.6091,-0.0334,0.9585,2.678,2.346,1.33680909543189,1.33460900212844,-165,165,1889,166.025390625,127.265625,255,0,57.6512223047267,170.131497656284,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.519543731,10.1638916266794,16.329,0.5874,0.0503,0.9685,2.678,2.346,1.33680909543189,1.3351590254543,-170,170,1889,166.025390625,127.265625,255,0,62.6861603918698,174.509704688582,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.567428697,10.8178916266794,16.983,0.6099,-0.02,0.937,2.678,2.351,1.33680909543189,1.3355715429487,-176,176,1888,165.9375,127.265625,255,0,66.6731591540714,177.976660133975,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.615428664,11.6308916266794,17.796,0.6345,-0.0237,0.9426,2.683,2.351,1.32696087626722,1.33341887627833,-190,190,1888,165.9375,127.265625,255,0,71.617304212391,182.275916706427,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
0.663479371,12.6978916266794,18.863,0.6306,-0.0234,0.9204,2.683,2.356,1.32696087626722,1.33180437627555,-183,183,1886,165.76171875,127.265625,255,0,78.0840770614578,187.899197444746,Giro_Off_intento5_180deg_2000_pulsos_Mu_0.50,TIEMPO_MAXIMO
