Tiempo_s,Phi_rel_deg,Phi_raw_deg,AX_g,AY_g,AZ_g,A0_V,A2_V,Theta0_raw,Theta0_filtrado,DXL_Corriente_mA,DXL_Corriente_abs_mA,DXL_Posicion_pulsos,DXL_Posicion_deg,DXL_Goal_Position_deg,Pulsos_Objetivo,Edad_dato_Arduino_s,Tau_calculado_Nmm,Corriente_calculada_mA,Test_ID,Motivo_detencion
0.000273518,-0.987332579558803,0,0.1519,-0.0159,1.1006,3.006,1.911,0.624011772173807,0.624011772173807,-132,132,1902,167.16796875,127.265625,0,0.000273518,0.3215458731148,134.192648585317,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.060449636,-1.05233257955879,7.935,0.447,-0.021,0.9812,2.81,2.175,1.0933983495874,0.741358416527205,-134,134,1902,167.16796875,127.265625,255,0,1.91885199931255,121.668566955924,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.114514211,-0.644332579558785,8.343,0.4634,-0.0403,1.0698,2.81,2.185,1.0933983495874,0.829368399792254,-121,121,1902,167.16796875,127.265625,255,0,1.17493493608394,121.021682553116,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.17824681,0.337667420441214,9.325,0.4482,-0.0171,1.0571,2.81,2.18,1.0933983495874,0.89537588724104,-121,121,1902,167.16796875,127.265625,255,0,0.615743061021016,120.535428748714,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.231526018,1.11666742044121,10.104,0.4519,-0.0337,1.0435,2.805,2.18,1.1053724969704,0.947875039673379,-122,122,1902,167.16796875,127.265625,255,0,2.03614748178894,121.770563027643,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.279841914,1.72966742044122,10.717,0.4912,-0.0242,1.0869,2.81,2.185,1.0933983495874,0.984255867151884,-122,122,1902,167.16796875,127.265625,255,0,3.15362114266058,122.742279254487,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.327327765,2.15766742044121,11.145,0.4604,-0.0239,1.0293,2.805,2.185,1.1053724969704,1.01453502460651,-123,123,1902,167.16796875,127.265625,255,0,3.93364107244677,123.420557454302,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.375387586,2.46966742044122,11.457,0.4866,-0.0356,1.0291,2.805,2.185,1.1053724969704,1.03724439269748,-124,124,1902,167.16796875,127.265625,255,0,4.50211788314544,123.914885115779,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.423289549,2.88566742044121,11.873,0.5132,-0.0247,1.0361,2.81,2.185,1.0933983495874,1.05128288191996,-124,124,1902,167.16796875,127.265625,255,0,5.25987638518952,124.573805552339,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.471490293,3.35066742044121,12.338,0.5181,-0.0325,1.0237,2.805,2.19,1.1053724969704,1.06480528568257,-125,125,1902,167.16796875,127.265625,255,0,6.10656004812953,125.310052215765,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.519370302,3.94966742044121,12.937,0.5366,-0.0359,0.9927,2.81,2.19,1.0933983495874,1.07195355165878,-126,126,1902,167.16796875,127.265625,255,0,7.19663360853051,126.257942268287,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.5673995,4.55666742044122,13.544,0.5532,-0.0278,0.9539,2.805,2.195,1.1053724969704,1.08030828798668,-127,127,1902,167.16796875,127.265625,255,0,8.30046281534755,127.217793752476,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.615273097,5.30766742044121,14.295,0.5598,-0.0706,0.968,2.81,2.195,1.0933983495874,1.08358080338686,-127,127,1902,167.16796875,127.265625,255,0,9.66485307722809,128.404220067155,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.663251595,5.92966742044121,14.917,0.5786,-0.0203,0.9856,2.81,2.195,1.0933983495874,1.086035189937,-128,128,1902,167.16796875,127.265625,255,0,10.7936337362624,129.385768466315,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.711232203,6.74566742044122,15.733,0.5593,-0.0239,0.9724,2.81,2.195,1.0933983495874,1.0878759798496,-130,130,1902,167.16796875,127.265625,255,0,12.2725278400855,130.671763339205,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.759375282,7.60366742044122,16.591,0.5757,-0.0388,0.9895,2.81,2.195,1.0933983495874,1.08925657228405,-131,131,1902,167.16796875,127.265625,255,0,13.8248512596655,132.021609791014,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.807664847,8.40866742044122,17.396,0.5876,-0.0232,0.9785,2.81,2.19,1.0933983495874,1.09029201660989,-132,132,1902,167.16796875,127.265625,255,0,15.2784729387919,133.285628642428,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.855408414,9.17766742044121,18.165,0.5713,-0.0298,0.9673,2.805,2.19,1.1053724969704,1.09406213670001,-133,133,1902,167.16796875,127.265625,255,0,16.6642753005468,134.490674174389,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.903590097,9.67166742044121,18.659,0.5918,-0.0371,0.9592,2.805,2.195,1.1053724969704,1.09688972676761,-134,134,1902,167.16796875,127.265625,255,0,17.5529367602123,135.26342326975,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.951269164,10.1546674204412,19.142,0.5974,-0.0176,0.9758,2.805,2.19,1.1053724969704,1.09901041931831,-136,136,1902,167.16796875,127.265625,255,0,18.420549108897,136.017868790345,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
0.999258261,10.7646674204412,19.752,0.6274,-0.0273,0.9436,2.805,2.195,1.1053724969704,1.10060093873133,-136,136,1902,167.16796875,127.265625,255,0,19.5144131266713,136.969054892758,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
1.047230794,11.4636674204412,20.451,0.6182,-0.021,0.9595,2.81,2.19,1.0933983495874,1.09880029144535,-137,137,1902,167.16796875,127.265625,255,0,20.7651467713885,138.056649366425,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
1.095299333,11.9616674204412,20.949,0.624,-0.0388,0.9402,2.81,2.199,1.0933983495874,1.09744980598086,-139,139,1902,167.16796875,127.265625,255,0,21.6543529716272,138.829872149241,Giro_Off_intento5_180deg_2000_pulsos_Mu_1.70,TIEMPO_MAXIMO
